Source,T1,Destination,T2,Seq,Latency
10.136.5.2,1697911003,10.143.3.2,1697911003,830,62702594
10.129.129.2,1697911003,10.143.3.2,1697911003,750,51799396
10.136.5.2,1697911004,10.143.3.2,1697911004,831,62631461
10.129.129.2,1697911004,10.143.3.2,1697911004,751,51838304
10.136.5.2,1697911005,10.143.3.2,1697911005,832,62650078
10.129.129.2,1697911005,10.143.3.2,1697911005,752,51797281
10.136.5.2,1697911006,10.143.3.2,1697911006,833,62679561
10.129.129.2,1697911006,10.143.3.2,1697911006,753,51796338
10.136.5.2,1697911007,10.143.3.2,1697911007,834,62632429
10.129.129.2,1697911007,10.143.3.2,1697911007,754,51793261
10.136.5.2,1697911008,10.143.3.2,1697911008,835,62665433
10.129.129.2,1697911008,10.143.3.2,1697911008,755,51793491
10.136.5.2,1697911009,10.143.3.2,1697911009,836,62688272
10.129.129.2,1697911009,10.143.3.2,1697911009,756,51790969
10.136.5.2,1697911010,10.143.3.2,1697911010,837,62631345
10.129.129.2,1697911010,10.143.3.2,1697911010,757,51794325
10.136.5.2,1697911011,10.143.3.2,1697911011,838,62687325
10.129.129.2,1697911011,10.143.3.2,1697911011,758,51791721
10.136.5.2,1697911012,10.143.3.2,1697911012,839,62700954
10.129.129.2,1697911012,10.143.3.2,1697911012,759,51792626
10.136.5.2,1697911013,10.143.3.2,1697911013,840,62705788
10.129.129.2,1697911013,10.143.3.2,1697911013,760,51791626
10.136.5.2,1697911014,10.143.3.2,1697911014,841,62652614
10.129.129.2,1697911014,10.143.3.2,1697911014,761,51793466
10.136.5.2,1697911015,10.143.3.2,1697911015,842,62722202
10.129.129.2,1697911015,10.143.3.2,1697911015,762,51791985
10.136.5.2,1697911016,10.143.3.2,1697911016,843,62672041
10.129.129.2,1697911016,10.143.3.2,1697911016,763,51801778
10.136.5.2,1697911017,10.143.3.2,1697911017,844,62725691
10.129.129.2,1697911017,10.143.3.2,1697911017,764,51792658
10.136.5.2,1697911018,10.143.3.2,1697911018,845,62666449
10.129.129.2,1697911018,10.143.3.2,1697911018,765,51851772
